bloc,no_methode,methode,seance,plants_observes,nfa,nfp,nt15,nt610,nt10p,nt6p,nfj,nfjp,haut
1,T0,Temoin,Semaine 1,,5,4,3,0,2,2,6,1,20.17
1,T1,Filet-anti-insectes,Semaine 1,,2,1,2,0,0,0,2,1,19.64
1,T2,Lutte-mecanique,Semaine 1,,2,2,2,0,0,0,2,0,21.59
1,T3,Cigogne-50-EC,Semaine 1,,7,3,7,0,0,0,1,4,18.54
2,T0,Temoin,Semaine 1,,16,9,11,1,4,5,4,7,20.27
2,T1,Filet-anti-insectes,Semaine 1,,8,2,5,1,2,3,0,7,17.51
2,T2,Lutte-mecanique,Semaine 1,,0,0,0,0,0,0,0,0,20.03
2,T3,Cigogne-50-EC,Semaine 1,,4,4,2,0,2,2,3,0,15.22
1,T0,Temoin,Semaine 2,,30,18,11,12,7,19,4,12,25.57
1,T1,Filet-anti-insectes,Semaine 2,,10,6,7,2,1,3,4,4,33.09
1,T2,Lutte-mecanique,Semaine 2,,40,23,20,11,9,20,14,17,23.81
1,T3,Cigogne-50-EC,Semaine 2,,10,7,4,4,2,6,3,3,18.5
2,T0,Temoin,Semaine 2,,12,8,5,6,1,7,10,4,24.35
2,T1,Filet-anti-insectes,Semaine 2,,16,7,8,2,6,8,2,9,21.96
2,T2,Lutte-mecanique,Semaine 2,,23,12,13,4,6,10,6,11,22.79
2,T3,Cigogne-50-EC,Semaine 2,,5,5,2,1,1,2,3,0,16.85
1,T0,Temoin,Semaine 3,,22,14,11,5,6,11,11,8,30.88
1,T1,Filet-anti-insectes,Semaine 3,,15,11,7,5,3,8,8,4,45.99
1,T2,Lutte-mecanique,Semaine 3,,15,10,10,3,2,5,3,5,40.71
1,T3,Cigogne-50-EC,Semaine 3,,12,8,9,2,1,3,9,4,31.13
2,T0,Temoin,Semaine 3,,34,20,16,9,9,18,9,14,34.45
2,T1,Filet-anti-insectes,Semaine 3,,8,4,3,2,3,5,7,4,39.31
2,T2,Lutte-mecanique,Semaine 3,,12,5,9,3,0,3,5,7,32.04
2,T3,Cigogne-50-EC,Semaine 3,,10,6,4,2,4,6,5,4,27.28
1,T0,Temoin,Semaine 4,,12,6,11,1,2,3,2,6,50.67
1,T1,Filet-anti-insectes,Semaine 4,,9,4,7,1,1,2,4,5,62.92
1,T2,Lutte-mecanique,Semaine 4,,8,5,8,0,0,0,5,3,53.69
1,T3,Cigogne-50-EC,Semaine 4,,16,11,9,3,4,7,13,5,45.12
2,T0,Temoin,Semaine 4,,12,7,10,0,2,2,7,5,50.45
2,T1,Filet-anti-insectes,Semaine 4,,9,6,5,1,3,4,3,3,60.22
2,T2,Lutte-mecanique,Semaine 4,,12,6,6,5,1,6,1,6,60.18
2,T3,Cigogne-50-EC,Semaine 4,,20,11,11,4,5,9,2,9,38.15
